ref,terminal-1,terminal-2,opening-hours-1,opening-hours-2, ,wd-6-7,wd-7-9,wd-9-16,wd-16-18,wd-18-19,wd-19-20,wd-20-21,sa-6-7,sa-7-9,sa-9-16,sa-16-18,sa-18-19,sa-19-20,sa-20-21,su-6-7,su-7-9,su-9-16,su-16-18,su-18-19,su-19-20,su-20-21
6,Barrio Camilo Chamorro,Colonia Independencia,Mo-Fr 05:00-19:00; Sa 05:00-19:00; Su 05:00-19:00,Mo-Fr 06:00-20:30; Sa 06:00-20:30; Su 06:00-20:30,80,5,6,5,4,3,4,1,5,6,5,4,3,4,1,5,6,5,4,3,4,1
101,Mercado Mayoreo,Las Brisas,Mo-Fr 04:45-20:00; Sa 04:45-19:00; Su 04:45-19:00,Mo-Fr 06:00-20:30; Sa 06:00-19:30; Su 06:00-19:30,90,6,5,5,6,6,3,4,6,5,5,6,6,3,4,6,5,5,6,6,3,4
102,Mercado Mayoreo,Acahualinca,Mo-Fr 05:00-20:00; Sa 05:00-20:00; Su 05:40-19:30,Mo-Fr 06:15-20:00; Sa 06:15-20:00; Su 06:40-19:30,75,5,8,7,7,10,7,2,6,7,7,7,7,6,1,3,6,6,6,6,5,0
103,Laureles Sur,Hospital Lenín Fonseca,Mo-Fr 04:45-20:00; Sa 06:00-20:00; Su 06:00-20:00,Mo-Fr 06:00-19:00; Sa 04:45-19:00; Su 04:45-18:30,75,3,5,4,4,4,4,2,1,5,5,5,4,4,3,1,5,5,5,4,4,3
104,Hialeah,Mercado Mayoreo,Mo-Fr 05:10-20:00; Sa 05:10-20:00; Su 05:10-20:00,Mo-Fr 06:00-20:00; Sa 06:00-20:00; Su 06:00-20:00,80,4,8,7,7,10,2,2,5,8,8,8,8,3,0,5,8,6,6,6,1,0
105,Unidad de Propósito,Camilo Ortega,Mo-Fr 04:40-20:30; Sa 05:50-20:30; Su 06:50-19:40,Mo-Fr 05:30-19:30; Sa 05:00-19:30; Su 06:00-18:40,80,5,6,5,5,7,5,3,5,4,4,4,4,3,0,3,3,5,5,3,3,0
106,Barrio Berta Díaz,El Seminario,Mo-Fr 05:00-20:00; Sa 06:10-20:00; Su 06:10-20:00,Mo-Fr 06:00-19:20; Sa 05:10-19:20; Su 05:10-19:20,90,6,7,6,7,5,5,2,3,6,4,4,3,2,0,3,3,3,3,3,3,0
107,Camilo Ortega,Mercado Oriental,Mo-Fr 04:45-19:15; Sa 04:45-18:30; Su 05:00-18:30,Mo-Fr 05:25-20:30; Sa 05:25-19:15; Su 05:40-19:15,60,7,8,8,7,11,9,5,7,8,8,7,11,9,5,7,8,8,7,11,9,5
108,Reparto Schick,Barrio Jose Dolores Estrada,Mo-Fr 05:20-19:30; Sa 05:20-19:20; Su 06:00-18:00,Mo-Fr 06:20-20:30; Sa 06:20-20:20; Su 07:00-17:00,75,3,4,4,5,2,1,0,3,4,4,5,2,1,0,3,3,3,3,4,0,0
109,Reparto Schick,Las Brisas,Mo-Fr 05:00-20:15; Sa 06:15-19:45; Su 06:15-19:45,Mo-Fr 06:15-19:00; Sa 05:00-18:30; Su 05:00-18:30,90,3,4,4,5,2,1,0,3,4,4,5,2,1,0,4,3,3,3,4,0,0
110,Mercado Mayoreo,El Seminario,Mo-Fr 04:30-20:00; Sa 04:30-20:00; Su 05:00-19:30,Mo-Fr 05:30-21:00; Sa 05:30-21:00; Su 06:00-20:30,75,11,10,10,9,12,15,9,10,12,10,7,9,10,9,5,6,6,7,7,7,7
111,Los Laureles Norte,Colonia Miguel Bonilla,Mo-Fr 04:20-20:00; Sa 04:20-20:00; Su 04:20-19:00,Mo-Fr 05:40-20:00; Sa 05:40-20:00; Su 05:40-19:00,95,7,7,6,7,8,7,3,7,7,6,7,8,7,3,1,7,7,7,7,7,2
112,Villa Libertad,Colonia Independencia,Mo-Fr 04:40-19:30; Sa 04:50-19:00; Su 05:15-19:00,Mo-Fr 05:50-20:40; Sa 06:00-20:10; Su 06:25-20:00,90,7,11,10,11,8,6,4,7,11,10,11,8,6,2,7,11,10,11,8,6,2
113,Ciudad Sandino (Trinidad),Mercado Oriental,Mo-Fr 05:00-19:00; Sa 05:00-18:00; Su 05:30-18:00,Mo-Fr 05:00-19:00; Sa 05:00-18:00; Su 05:30-18:00,75,10,10,10,10,7,0,0,10,10,10,10,5,0,0,10,10,10,10,5,0,0
114,Villa José Benito Escobar,Cuesta el Plomo,Mo-Fr 05:00-20:30; Sa 05:40-19:30; Su 05:00-18:30,Mo-Fr 05:50-20:30; Sa 06:30-19:30; Su 05:50-18:30,60,10,11,10,11,11,7,3,6,11,10,9,9,7,4,5,7,7,9,9,7,2
115,Ciudad Sandino (Zona 5),Mercado Oriental,Mo-Fr 05:00-20:30; Sa 05:40-19:30; Su 05:00-18:30,Mo-Fr 05:50-20:30; Sa 06:30-19:30; Su 05:50-18:30,60,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,1,0
